key_words,key_values,category,section
has exploded,0.32,None,None
locations bay,0.32,None,None
mission has,0.32,None,None
multiplying locations,0.32,None,None
rapidly multiplying,0.32,None,None
started mission,0.32,None,None
baristas guarantee,0.3,coffee,barista
coffee no,0.3,coffee,barista
cup pour,0.3,coffee,drinks
espresso machines,0.3,coffee,drinks
friendly baristas,0.3,coffee,barista
guarantee perfect,0.3,coffee,sentiment
machines friendly,0.3,coffee,sentiment
no espresso,0.3,coffee,drinks
over coffee,0.3,coffee,drinks
pour over,0.3,coffee,drinks
stop cup,0.3,None,None
bagels pastries,0.38,food,baked
breakfast sandwiches,0.38,food,breakfast
food items,0.38,food,None
items available,0.38,food,None
light food,0.38,food,None
pastries breakfast,0.38,food,baked
sandwiches light,0.38,None,None
addicted creamy,0.35,coffee,None
chain many,0.35,None,None
creamy mint,0.35,food,None
devotees local,0.35,None,None
local chain,0.35,None,None
many addicted,0.35,coffee,None
many devotees,0.35,coffee,None
mint mojito,0.35,coffee,drinks
anchor hope,0.25,None,None
caffe greco,0.25,None,None
capra focused,0.25,None,None
focused espresso,0.25,coffee,drinks
greco la,0.25,None,None
hall anchor,0.25,None,None
hanna suleiman,0.25,None,None
house partner,0.25,None,None
la capra,0.25,None,None
mitchell steve,0.25,None,None
partner hanna,0.25,None,None
rosenthal town,0.25,None,None
salt house,0.25,None,None
steve rosenthal,0.25,None,None
suleiman caffe,0.25,None,None
town hall,0.25,None,None
alongside drip,0.28,None,None
attraction rosenthal,0.28,None,None
blend italianinspired,0.28,coffee,drinks
brothers blend,0.28,None,None
coffee rotating,0.28,coffee,None
drip coffee,0.28,coffee,drinks
espresso alongside,0.28,coffee,drinks
italianinspired espresso,0.28,coffee,drinks
main attraction,0.28,None,None
rosenthal brothers,0.28,None,None
rotating selection,0.28,None,None
selection singleorigin,0.28,None,None
singleorigin pourovers,0.28,coffee,drinks
bakehouse starter,0.3,None,None
bakery sandwiches,0.3,food,breakfast
fancy toppings,0.3,coffee,None
neighbor bakehouse,0.3,food,baked
pastries neighbor,0.3,food,baked
salads lunch,0.3,food,lunch
sandwiches salads,0.3,food,lunch
serve toast,0.3,food,baked
starter bakery,0.3,None,None
toast variety,0.3,food,baked
toppings pastries,0.3,coffee,None
austin tony,0.27,None,None
brothers austin,0.27,None,None
cute tiny,0.27,place,sentiment
espressofueled labor,0.27,None,None
ferrari hillside,0.27,place,out
hillside supper,0.27,None,None
italian brothers,0.27,None,None
labor love,0.27,coffee,sentiment
love italian,0.27,coffee,sentiment
provender espressofueled,0.27,coffee,drinks
squarefeet provender,0.27,None,None
supper club,0.27,None,None
tiny squarefeet,0.27,place,size
tony ferrari,0.27,None,None
have teas,0.35,coffee,drinks
including grain,0.35,None,None
meat sandwich,0.35,food,breakfast
pastries lunch,0.35,food,baked
salad meat,0.35,food,lunch
sandwich veggie,0.35,food,breakfast
teas pastries,0.35,None,None
togo including,0.35,food,lunch
brew coffee,0.24,None,None
coffee strained,0.24,None,None
cold brew,0.24,coffee,drinks
dash pure,0.24,None,None
extract smokey,0.24,None,None
ice milk,0.24,None,None
maple extract,0.24,None,None
maple syrup,0.24,coffee,None
maplewood cold,0.24,None,None
milk maple,0.24,None,None
over ice,0.24,coffee,drinks
poured over,0.24,coffee,drinks
pure maple,0.24,coffee,None
smokey sweet,0.24,food,sentiment
strained poured,0.24,None,None
sweet flavor,0.24,food,sentiment
syrup dash,0.24,None,None
try maplewood,0.24,None,None
boardgames coffee,0.33,None,None
collection boardgames,0.33,place,deco
friend game,0.33,place,stay
game one,0.33,None,None
old friend,0.33,None,None
one shops,0.33,None,None
shops collection,0.33,None,None
stop visit,0.33,None,None
visit old,0.33,None,None
breakfast spot,0.3,food,breakfast
down street,0.3,None,None
